"Region","Scenario","CIRG_MLR_2021_2040","CIRG_MLR_2081_2100","CIRG_ML_2021_2040","CIRG_ML_2081_2100","MLR_Change","ML_Change"
"Cheongsong","SSP1-26",2.84790466271654,2.60304995466127,2.05523865031199,2.05419613843231,-0.24485470805527,-0.00104251187967686
"Cheongsong","SSP2-45",2.79834910132406,2.30533356136094,2.05385101235955,2.05117666085528,-0.493015539963126,-0.00267435150426287
"Cheongsong","SSP3-70",2.82226810617075,1.86782184544324,2.05426237401158,1.92127877932933,-0.954446260727508,-0.132983594682247
"Cheongsong","SSP5-85",2.80647337952421,1.57729495750456,2.05390243831753,1.7775648016022,-1.22917842201965,-0.27633763671533
"Chungju","SSP1-26",3.05487841727851,2.81474614395297,2.05772098341338,2.05534229124973,-0.240132273325544,-0.00237869216365283
"Chungju","SSP2-45",3.016735321707,2.51565004776888,2.05602415444224,2.06001593055046,-0.50108527393812,0.00399177610821599
"Chungju","SSP3-70",3.05422518927774,2.04716958302766,2.05609654079741,2.00483578789598,-1.00705560625008,-0.0512607529014337
"Chungju","SSP5-85",3.0054782542329,1.73862023190627,2.05348188175768,1.85061696051004,-1.26685802232663,-0.202864921247635
"Geochang","SSP1-26",2.25179786023374,1.99876895177815,2.05371487031754,1.98239786489565,-0.253028908455585,-0.0713170054218886
"Geochang","SSP2-45",2.20359849138647,1.70200422683959,2.04377719461779,1.80979072485589,-0.501594264546874,-0.233986469761904
"Geochang","SSP3-70",2.23332157754885,1.25711831943318,2.04370729908183,1.69737623570718,-0.976203258115666,-0.346331063374651
"Geochang","SSP5-85",2.19956927646037,0.969026218587497,2.04494600030591,1.69432760505354,-1.23054305787288,-0.350618395252376
"Gunwi","SSP1-26",2.19173983930637,1.93442914314941,2.0375841031712,1.95088674223073,-0.257310696156952,-0.086697360940472
"Gunwi","SSP2-45",2.14152151857928,1.64443632487109,2.02204658892896,1.80706847387852,-0.497085193708188,-0.214978115050432
"Gunwi","SSP3-70",2.17166029809507,1.19442557089152,2.02826550028069,1.69637629825277,-0.977234727203556,-0.331889202027923
"Gunwi","SSP5-85",2.13596382321162,0.897708370640811,2.01812101533816,1.70070827086325,-1.23825545257081,-0.31741274447491
"Hwaseong","SSP1-26",2.3137302176696,2.05689431472038,2.05215769375234,1.98910169477671,-0.256835902949214,-0.0630559989756367
"Hwaseong","SSP2-45",2.27946997984859,1.75737925225448,2.04707841880131,1.82527895202264,-0.522090727594111,-0.221799466778667
"Hwaseong","SSP3-70",2.33433752130808,1.29966166469377,2.05336727087291,1.72231291923669,-1.03467585661431,-0.331054351636216
"Hwaseong","SSP5-85",2.26987014778991,1.01365212774873,2.04504083305796,1.7211516430932,-1.25621802004118,-0.323889189964765
"Jangsu","SSP1-26",2.67679287678723,2.42283375655535,2.01401258758227,2.00984070154291,-0.25395912023188,-0.00417188603935603
"Jangsu","SSP2-45",2.62957649135748,2.12930058007017,2.01510712938165,2.00733811054507,-0.500275911287306,-0.00776901883658176
"Jangsu","SSP3-70",2.66110651172575,1.6743910708241,2.01469143437775,1.74587645115382,-0.986715440901647,-0.268814983223931
"Jangsu","SSP5-85",2.62209430261175,1.39145055110801,2.01049829616012,1.67430689570755,-1.23064375150374,-0.336191400452568
"Pocheon","SSP1-26",3.13288168952766,2.89561320873632,2.05583864717862,2.05324428882217,-0.237268480791339,-0.00259435835645494
"Pocheon","SSP2-45",3.09488864827185,2.5979827361568,2.05722382368195,2.0467058955771,-0.49690591211505,-0.0105179281048571
"Pocheon","SSP3-70",3.14135567853762,2.10523390851995,2.05763887616353,2.01589668067904,-1.03612177001767,-0.0417421954844892
"Pocheon","SSP5-85",3.08779400948428,1.79094644995862,2.05624162091377,1.82442620719547,-1.29684755952566,-0.231815413718294
"Yeongju","SSP1-26",2.32163036039417,2.07978755840326,2.03678239392118,1.97977989641298,-0.24184280199091,-0.0570024975082009
"Yeongju","SSP2-45",2.27719877788935,1.77961555685998,2.01562210178504,1.85819299062012,-0.497583221029372,-0.157429111164921
"Yeongju","SSP3-70",2.30942130296765,1.3238935194118,2.02827772446409,1.680296744769,-0.985527783555848,-0.347980979695081
"Yeongju","SSP5-85",2.27613500372139,1.02318364169408,2.01922205372628,1.67241721218244,-1.25295136202731,-0.346804841543845
