"Region","Scenario","Sugar_MLR_2021_2040","Sugar_MLR_2081_2100","Sugar_ML_2021_2040","Sugar_ML_2081_2100","MLR_Change","ML_Change"
"Cheongsong","SSP1-26",14.0592942827298,13.5699250615491,13.8128268333333,13.8376245,-0.489369221180631,0.0247976666666681
"Cheongsong","SSP2-45",13.9297461955899,12.904630672114,13.8238218333333,13.801002,-1.02511552347595,-0.0228198333333332
"Cheongsong","SSP3-70",13.9797478283484,11.9109780374273,13.8238661666666,13.5658666666667,-2.06876979092108,-0.257999499999986
"Cheongsong","SSP5-85",13.9989628509155,11.2328002643624,13.8302751666666,13.5903103333333,-2.76616258655307,-0.239964833333318
"Chungju","SSP1-26",14.435892870784,13.8675488644811,13.7618171666666,13.7828348333333,-0.568344006302892,0.0210176666666673
"Chungju","SSP2-45",14.3117106451355,13.2260803081012,13.7740791666666,13.7567718333333,-1.08563033703435,-0.0173073333333331
"Chungju","SSP3-70",14.4322299150338,12.0441310558685,13.7709603333333,13.6378551666667,-2.38809885916534,-0.133105166666658
"Chungju","SSP5-85",14.2565586476779,11.307541454694,13.7804026666666,13.5423205,-2.94901719298389,-0.238082166666649
"Geochang","SSP1-26",13.0981757339968,12.524795127742,13.8224695,13.6805625,-0.573380606254826,-0.141906999999991
"Geochang","SSP2-45",12.9705696809287,11.8814164267019,13.8248026666666,13.5898318333333,-1.08915325422681,-0.234970833333318
"Geochang","SSP3-70",13.0440762388905,10.7875056144774,13.8417903333333,13.8296615,-2.2565706244131,-0.0121288333333247
"Geochang","SSP5-85",12.9219370734152,10.1123693530191,13.8189591666666,14.0633923333333,-2.80956772039609,0.244433166666676
"Gunwi","SSP1-26",12.5403679544792,11.9300780235289,13.8016396666666,13.695522,-0.610289930950223,-0.106117666666659
"Gunwi","SSP2-45",12.3651803648508,11.3494002727194,13.7814586666666,13.6012146666667,-1.01578009213139,-0.180243999999986
"Gunwi","SSP3-70",12.455838102522,10.2450270327642,13.793362,13.8167491666667,-2.21081106975785,0.0233871666666765
"Gunwi","SSP5-85",12.3545464325667,9.56305040775829,13.7890046666666,14.0518018333333,-2.79149602480846,0.262797166666674
"Hwaseong","SSP1-26",14.2982831544923,13.7264009492287,13.7828143333333,13.8239375,-0.571882205263606,0.0411231666666776
"Hwaseong","SSP2-45",14.2468010835316,13.0070460129052,13.7787586666667,14.2239526666667,-1.23975507062639,0.445193999999997
"Hwaseong","SSP3-70",14.3821984611095,11.8437416900042,13.782302,14.3221835,-2.53845677110525,0.539881499999991
"Hwaseong","SSP5-85",14.1553905516809,11.2090721817417,13.762135,14.2973088333333,-2.94631836993919,0.535173833333324
"Jangsu","SSP1-26",14.9751446771913,14.3879917242507,13.825076,13.8632761666666,-0.587152952940597,0.0382001666666678
"Jangsu","SSP2-45",14.8585003701588,13.7230846779471,13.8500035,13.718559,-1.13541569221164,-0.131444499999994
"Jangsu","SSP3-70",14.9461611583077,12.5978608713215,13.8467828333333,13.5449141666667,-2.34830028698619,-0.301868666666651
"Jangsu","SSP5-85",14.7974725400264,11.921440041205,13.8786766666666,13.755404,-2.87603249882136,-0.123272666666656
"Pocheon","SSP1-26",15.7178114164514,15.1905701894519,13.6898016666666,13.7004193333333,-0.527241226999529,0.0106176666666684
"Pocheon","SSP2-45",15.6573558157213,14.5574513351098,13.7130875,13.7111843333333,-1.09990448061156,-0.0019031666666649
"Pocheon","SSP3-70",15.7603413182156,13.3224319471116,13.6909576666666,13.5675193333333,-2.437909371104,-0.123438333333313
"Pocheon","SSP5-85",15.5951878751897,12.5513283194777,13.6843835,13.499613,-3.04385955571195,-0.184770499999978
"Yeongju","SSP1-26",13.525222325523,12.9864658281006,13.89988,13.734617,-0.538756497422384,-0.165262999999994
"Yeongju","SSP2-45",13.3927044063038,12.3060495207126,13.8656331666666,13.645809,-1.08665488559127,-0.219824166666651
"Yeongju","SSP3-70",13.4660812150131,11.2199626928703,13.8776315,13.7477838333333,-2.2461185221428,-0.129847666666658
"Yeongju","SSP5-85",13.3905143842894,10.4834492424107,13.8762156666666,13.9734218333333,-2.90706514187874,0.0972061666666733
